CustomerID,CustomerName,JoinDate
CUST0001,Customer 1,2022-10-18
CUST0002,Customer 2,2022-07-31
CUST0003,Customer 3,2023-04-17
CUST0004,Customer 4,2022-07-07
CUST0005,Customer 5,2022-06-12
CUST0006,Customer 6,2022-11-11
CUST0007,Customer 7,2023-04-27
CUST0008,Customer 8,2023-04-23
CUST0009,Customer 9,2022-11-23
CUST0010,Customer 10,2022-02-14
CUST0011,Customer 11,2023-03-05
CUST0012,Customer 12,2024-08-26
CUST0013,Customer 13,2022-10-13
CUST0014,Customer 14,2023-11-21
CUST0015,Customer 15,2022-01-23
CUST0016,Customer 16,2024-04-04
CUST0017,Customer 17,2023-11-14
CUST0018,Customer 18,2022-11-08
CUST0019,Customer 19,2022-12-22
CUST0020,Customer 20,2022-08-04
CUST0021,Customer 21,2023-10-14
CUST0022,Customer 22,2023-08-03
CUST0023,Customer 23,2022-02-22
CUST0024,Customer 24,2023-07-01
CUST0025,Customer 25,2024-08-06
CUST0026,Customer 26,2022-09-21
CUST0027,Customer 27,2022-09-09
CUST0028,Customer 28,2022-08-24
CUST0029,Customer 29,2022-06-03
CUST0030,Customer 30,2023-02-02
CUST0031,Customer 31,2023-03-24
CUST0032,Customer 32,2022-05-23
CUST0033,Customer 33,2022-01-07
CUST0034,Customer 34,2022-05-13
CUST0035,Customer 35,2022-05-18
CUST0036,Customer 36,2023-07-10
CUST0037,Customer 37,2024-08-24
CUST0038,Customer 38,2024-01-29
CUST0039,Customer 39,2023-12-06
CUST0040,Customer 40,2024-01-13
CUST0041,Customer 41,2024-05-02
CUST0042,Customer 42,2024-07-01
CUST0043,Customer 43,2022-12-12
CUST0044,Customer 44,2024-06-01
CUST0045,Customer 45,2023-12-08
CUST0046,Customer 46,2024-04-01
CUST0047,Customer 47,2022-03-05
CUST0048,Customer 48,2022-05-05
CUST0049,Customer 49,2022-04-23
CUST0050,Customer 50,2022-01-18
CUST0051,Customer 51,2023-05-12
CUST0052,Customer 52,2023-07-11
CUST0053,Customer 53,2022-07-24
CUST0054,Customer 54,2024-08-08
CUST0055,Customer 55,2024-08-31
CUST0056,Customer 56,2023-12-19
CUST0057,Customer 57,2022-11-27
CUST0058,Customer 58,2023-02-06
CUST0059,Customer 59,2023-05-13
CUST0060,Customer 60,2024-06-07
CUST0061,Customer 61,2024-02-06
CUST0062,Customer 62,2023-02-26
CUST0063,Customer 63,2023-08-10
CUST0064,Customer 64,2023-12-21
