OrderID,OrderDate,ProductID,CustomerID,SalesRepID,Quantity,Price,Region,Status
ORD100000,2022-04-13,P021,CUST0636,Alice,12.0,1887.45,West,Returned
ORD100001,2023-03-12,P078,CUST0159,David,10.0,760.5,East,Completed
ORD100002,2022-09-28,P010,CUST0100,Alice,,587.68,West,Returned
ORD100003,2022-04-17,P087,CUST0142,Eva,8.0,1997.08,West,Cancelled
ORD100004,2022-03-13,P039,CUST0117,Bob,14.0,89.55,South,Completed
ORD100005,2023-12-02,P078,CUST0468,David,9.0,175.51,West,Returned
ORD100006,2022-01-21,P047,CUST0039,Eva,1.0,1057.36,West,Returned
ORD100007,2023-09-07,P086,CUST0348,Alice,5.0,60.0,North,Returned
ORD100008,2022-05-02,P052,CUST0985,Alice,11.0,485.88,North,Returned
ORD100009,2023-04-12,P041,CUST0166,Charlie,15.0,857.33,South,Returned
ORD100010,2022-08-03,P092,CUST0107,David,14.0,1472.86,West,Cancelled
ORD100011,2022-11-27,P047,CUST0843,Bob,4.0,1654.71,North,Cancelled
ORD100012,2023-04-04,P073,CUST0786,Charlie,14.0,693.82,West,Completed
ORD100013,2022-03-29,P087,CUST0551,Alice,6.0,161.5,East,Completed
ORD100014,2023-01-08,P071,CUST0595,Bob,6.0,1003.58,West,Cancelled
ORD100015,2022-04-10,P088,CUST0504,David,16.0,425.2,South,Cancelled
ORD100016,2023-10-26,P043,CUST0323,Eva,7.0,107.92,North,Completed
ORD100017,2022-05-11,P037,CUST0809,Bob,3.0,591.07,South,Returned
ORD100018,2023-10-24,P073,CUST0814,Charlie,15.0,869.57,West,Cancelled
ORD100019,2022-11-05,P064,CUST0945,Eva,11.0,498.48,North,Returned
ORD100020,2022-12-10,P071,CUST0502,Eva,1.0,849.39,East,Completed
ORD100021,2023-05-07,P060,CUST0155,Bob,8.0,241.52,West,Completed
ORD100022,2023-02-18,P087,CUST0122,Bob,6.0,1728.94,West,Returned
ORD100023,2023-01-21,P025,CUST0023,Charlie,2.0,1267.69,East,Returned
ORD100024,2022-07-11,P022,CUST0035,Bob,18.0,484.21,West,Completed
ORD100025,2022-10-04,P043,CUST0230,David,6.0,1187.73,South,Returned
ORD100026,2022-06-10,P071,CUST0491,Eva,1.0,1072.25,West,Completed
ORD100027,2023-04-05,P070,CUST0141,Eva,17.0,1303.24,West,Cancelled
ORD100028,2022-11-10,P036,CUST0382,Charlie,4.0,1390.77,East,Returned
ORD100029,2022-01-22,P046,CUST0282,Bob,7.0,1304.92,North,Completed
ORD100030,2022-09-10,P022,CUST0206,Bob,10.0,151.41,East,Returned
ORD100031,2023-07-15,P035,CUST0163,Eva,8.0,968.1,North,Completed
ORD100032,2023-04-20,P047,CUST0425,Eva,14.0,1596.6,East,Cancelled
ORD100033,2022-02-28,P033,CUST0134,Charlie,1.0,1415.33,West,Returned
ORD100034,2023-05-26,P085,CUST0584,Bob,10.0,1604.42,North,Completed
ORD100035,2023-11-13,P075,CUST0564,Alice,11.0,1310.74,East,Completed
ORD100036,2023-04-21,P013,CUST0488,Bob,3.0,1414.31,North,Cancelled
ORD100037,2023-12-01,P056,CUST0565,Charlie,6.0,1439.2,South,Returned
ORD100038,2022-07-09,P067,CUST0495,Eva,3.0,595.73,West,Cancelled
ORD100039,2023-11-18,P013,CUST0463,Eva,14.0,1230.13,North,Returned
